#,Loai loi inject,Ty le inject,Expectation,Threshold,GE catch,Notes
1,"Email sai format (thiếu @ / có space)",2.0%,EXP-SV-07,mostly=0.98,N/A,"Email phải có @. mostly=0.98 vì inject_errors.py xóa @ ở ~2% record. Transform s"
2,"Trạng thái dùng format cũ (DANG_HOC)",1.5%,EXP-SV-06,mostly=0.97,N/A,"4 trạng thái hợp lệ theo quy chế. mostly=0.97 vì inject_errors.py thay ~1.5% thà"
3,"diem_tong_ket = NULL (GV chưa nhập)",2.0%,EXP-GR-03,mostly=0.97,N/A,"Tối thiểu 97% records phải có điểm tổng kết. inject_errors tạo ~2% NULL (GV chưa"
4,"diem_chu không khớp diem_tong_ket",1.2%,EXP-GR-05,mostly=0.986,N/A,"9 loại điểm chữ theo thang PTIT. mostly=0.986 vì inject_errors tạo ~1.2% diem_ch"
5,"dat_mon flag sai (Transform tự sửa)",1.5%,-,exact,By design,""
6,"diem_he_4 = NULL (Transform tính lại)",0.8%,-,exact,By design,""
7,"diem_cuoi_ky ngoài [0,10]",0.5%,EXP-GR-04d,mostly=0.994,N/A,"Điểm cuối kỳ trong [0;10]. mostly=0.994 vì inject_errors tạo ~0.5% diem_cuoi_ky "
8,"diem_ren_luyen rỗng / N/A",5.0%,EXP-CTSV-06,mostly=0.92,N/A,"ĐRL trong [0;100]. mostly=0.92 vì inject_errors tạo: 5% rỗng/N/A + 1% chữ thay s"
9,"xep_loai_rl sai mức",3.0%,EXP-CTSV-07,mostly=0.88,N/A,"6 mức xếp loại theo quy chế PTIT. mostly=0.88 vì: 5% ô trống + 3% xếp loại sai m"
10,"Mã SV thừa space / lowercase",2.0%,EXP-CTSV-03,mostly=0.93,N/A,"Format mã SV chuẩn PTIT. mostly=0.93 vì inject_errors tạo: 2% thừa khoảng trắng "
11,"Dòng trùng (ma_sv, hoc_ky)",1.5%,EXP-CTSV-05,exact,N/A,"Mỗi SV chỉ có 1 bản ghi rèn luyện cho mỗi học kỳ. Duplicate = file CSV bị export"
12,"muc_tien_hb âm",0.8%,EXP-CTSV-08,mostly=0.99,N/A,"Tiền học bổng >= 0 (VND). SV không có HB = 0; không phải NULL. mostly=0.99 vì in"
13,"hoc_ky sai format (HK1/2024-25)",0.5%,EXP-CTSV-04,mostly=0.993,N/A,"Format học kỳ chuẩn: HK1-2024-25; HK2-2023-24. mostly=0.993 vì inject_errors tạo"
14,"diem_ren_luyen chữ ('Chưa nhập')",1.0%,EXP-CTSV-06,mostly=0.92,N/A,"ĐRL trong [0;100]. mostly=0.92 vì inject_errors tạo: 5% rỗng/N/A + 1% chữ thay s"
15,"con_no tính sai (vendor bug)",3.0%,EXP-TC-09,mostly=0.968,N/A,"Nợ học phí >= 0. mostly=0.968 vì inject_errors tạo ~3% con_no sai (vendor API là"
16,"ngay_dong_cuoi sai format",2.5%,EXP-TC-08,mostly=0.99,N/A,"Số tiền đã đóng >= 0. SV chưa đóng = 0; không phải NULL."
17,"da_dong > hoc_phi (logic sai)",1.0%,EXP-TC-10,mostly=0.994,N/A,"Tiền miễn giảm >= 0. mostly=0.994 vì inject_errors tạo ~0.5% giá trị âm (vendor "
18,"hoc_ky sai format",2.5%,EXP-TC-05,mostly=0.983,N/A,"Format học kỳ chuẩn. mostly=0.983 vì inject_errors tạo ~1.5% format sai (HK1_202"
19,"so_tien_mien_giam âm",1.2%,EXP-TC-11,exact,N/A,"9 trường theo contract API vendor. exact_match=false vì inject_errors xóa ngay_d"
20,"Thiếu ngay_dong_cuoi (optional field)",0.8%,-,exact,By design,""
